what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1228759336968
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1228759339046
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228759340375
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228759340859
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1228759343546
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228759353156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228759386187
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228759388203
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1228759394546
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228759403484
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228759425765
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228759427953
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1228759450812
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228759454812
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228759471015
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1228759487718
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1228759492296
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1228759501750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228759506328
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228759509531
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1228759509562
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1228759515687
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228759517515
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228759519515
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1228759519531
